mother	f	son	daughter
mom	f	son	daughter
mama	f	son	daughter
father	m	son	daughter
dad	m	son	daughter
sister	f	brother	sister
brother	m	brother	sister
sibling	n	sibling
cousin	n	cousin
daughter	f	father	mother
son	m	father	mother
child	n	father	mother
descendant	n	ancestor
acquaintance	n	acquaintance
mate	a	mate
mentor	n	mentee
heir	n	predecessor
kidnapper	n	kidnappee
co-worker	n	co-worker
uncle	m	nephew	niece
nephew	m	uncle	aunt
niece	f	uncle	aunt
aunt	f	nephew	niece
advisor	n	mentee
funder	n	beneficiary
apprentice	n	mentor
stranger	n	stranger
partner	a	partner
spouse	a	spouse
girlfriend	f	boyfriend
boyfriend	m	girlfriend
husband	m	wife
wife	f	husband
grandfather	m	grandson	granddaughter
grandmother	f	grandson	granddaughter
grandchild	n	grandfather	grandmother
grandson	m	grandfather	grandmother
granddaughter	f	grandfather	grandmother
classmate	n	classmate
stepdad	m	stepson	stepdaughter
stepfather	m	stepson	stepdaughter
stepmom	f	stepson	stepdaughter
stepmother	f	stepson	stepdaughter
stepson	m	stepfather	stepmother
stepdaughter	f	stepfather	stempmother
stepsister	f	stepbrother	stepsister
stepbrother	m	stepbrother	stepsister
team-mate	n	team-mate
soon-to-be-ex-husband	m	soon-to-be-ex-wife
soon-to-be-ex-wife	f	soon-to-be-ex-husband
sidekick	n	sidekick
seatmate	n	seatmate
playmate	n	playmate
roommate	n	roommate
offspring	n	parent
nemesis	n	nemesis
namesake	n	namesake
father-in-law	m	son-in-law	daughter-in-law
mother-in-law	f	son-in-law	daughter-in-law
son-in-law	m	father-in-law	mother-in-law
daughter-in-law	f	father-in-law	mother-in-law
brother-in-law	m	brother-in-law	sister-in-law
sister-in-law	f	brother-in-law	sister-in-law
landlord	n	tenant
landlady	f	tenant
kin	n	kin
linemate	n	linemate
co-founder	n	co-founder
co-author	n	co-author
compatriot	n	compatriot
companion	n	companion
bodyguard	n	employer
superintendent	n	employee
skipper	n	rule follower
imam	n	follower
scout	n	commander
employee	n	employer
employer	n	employee
neighbor	n	neighbor
neighbour	n	neighbour
friend	n	friend
fiancee	f	fiance
fiance	m	fiancee
